variableid,variablecode,variablenamecv
38938,Perfluorooctylsulfonyl fluoride,Perfluorooctanesulfonyl fluoride
38944,Perfluorooctanesulfonyl fluoride,Perfluorooctanesulfonyl fluoride
38951,Perfluorotributylamine,Perfluorotributylamine
38960,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide
38967,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide
38971,"Perfluoro compounds, C5-18","Perfluoro compounds, C5-18"
38974,Perfluoromethyloxirane,Perfluoromethyloxirane
38987,8:2 Fluorotelomer alcohol,8:2 Fluorotelomer alcohol
38994,10:2 Fluorotelomer alcohol,10:2 Fluorotelomer alcohol
39175,10:2 Fluorotelomer acrylate,10:2 Fluorotelomer acrylate
39995,8:2 Fluorotelomer iodide,8:2 Fluorotelomer iodide
40002,10:2 Fluorotelomer iodide,10:2 Fluorotelomer iodide
43233,10:1 Fluorotelomer alcohol,10:1 Fluorotelomer alcohol
44995,1-Perfluoropropylethanol,1-Perfluoropropylethanol
45076,4-(Trifluoromethyl)perfluoro-2-pentene,4-(Trifluoromethyl)perfluoro-2-pentene
45254,HFPO hexamer acid fluoride,HFPO hexamer acid fluoride
47826,POLYFLGSID_882604,POLYFLGSID_882604
48911,"Poly(1,1-difluoroethylene/1,1,3,3,3-pentafluoropropene/tetrafluoroethylene/trifluoromethyl trifluorovinyl ether)","Poly(1,1-difluoroethylene/1,1,3,3,3-pentafluoropropene/tetrafluoroethylene/trifluoromethyl trifluorovinyl ether)"
50709,"10,10-Diethoxy-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorodecane","10,10-Diethoxy-1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-heptadecafluorodecane"
