variableid,variablecode,variablenamecv
53568,F-53B (Minor),11-chloroeicosafluoro-3-oxanonane-1-sulfonate
53569,4:2 PFS,4:2 Fluorotelomer sulfonic acid
53571,8:2 PFS,8:2 Fluorotelomer sulfonic acid
53572,F-53B (Major),9-chlorohexadecafluoro-3-oxanonane-1-sulfonate
53574,N-AP-FHxSA,N-(3-dimethylaminopropan-1-yl)perfluoro-1-hexane-sulfonamide
53576,N-TAmP-FHxSA,"N-[3-(perfluoro-1-hexanesulfonamido)propan-1-yl]-N,N,N-trimethylammonium"
53577,NEtFOSAA,N-ethyl perfluorooctanesulfonamidoacetic acid
53578,NMeFOSAA,N-methyl perfluorooctanesulfonamidoacetic acid
53581,PFDS,Perfluorodecanesulfonic acid
53582,PFDoS,Perfluorododecanesulfonic acid
53584,PFHxDA,Perfluorohexadecanoic acid
53587,PFNS,Perfluorononanesulfonic acid
53590,PFTeDA,Perfluorotetradecanoic acid
53591,PFTrDA,Perfluorotridecanoic acid
