variableid,variablecode,variablenamecv
39022,PFDoA,Perfluorododecanoic acid
39117,Perfluoroheptanoic acid,Perfluoroheptanoic acid
41442,PFHpS,Lithium perfluoroheptanesulfonate
45220,PFHpA,Ammonium perfluoroheptanoate
53544,PFBA,Perfluorobutanoic acid
53545,PFPeA,Perfluoropentanoic acid
53546,PFHxA,Perfluorohexanoic acid
53547,PFOA,Perfluorooctanoic acid
53548,PFNA,Perfluorononanoic acid
53549,PFDA,Perfluorodecanoic acid
53550,PFBS,Perfluorobutanesulfonic acid
53551,PFHxS,Perfluorohexanesulfonate
53552,PFOS,Perfluorooctanesulfonic acid
53553,6:2FTS,6:2 Fluorotelomer sulfonate
53554,NVHOS,"1,1,2,2-tetrafluoro-2-(1,2,2,2-tetrafluoro-ethoxy)ethane sulfonic acid"
53555,Nafion Bp 1,"Perfluoro-3,6-dioxa-4-methyl-7-octene-1-sulfonic acid"
53556,Nafion Bp 2,Perfluoro-2-{[perfluoro-3-(perfluoroethoxy)-2-propanyl]oxy}ethanesulfonic acid
53557,Nafion Bp 4,"2,2,3,3,4,5,5,5-4-(1,1,2,2-tetrafluoro-2-sulfoethoxy)pentanoic acid"
53558,PFMOAA,Difluoro(perfluoromethoxy)acetic acid
53559,PMPA,Perfluoro-2-(perfluoromethoxy)propanoic acid
53560,PEPA,"2,3,3,3-Tetrafluoro-2-(pentafluoroethoxy)propanoic acid"
53561,GenX,Perfluoro-2-methyl-3-oxahexanoic acid
53562,PFO2HxA,"Perﬂuoro-3,5-dioxahexanoic acid"
53563,PFO3OA,"Perfluoro-3,5,7-trioxaoctanoic acid"
53564,PFO4DA,"Perﬂuoro-3,5,7,9-butaoxadecanoic acid"
53565,PFO5DoA,"Perfluoro-3,5,7,9,11-pentaoxadodecanoic acid"
53566,HydroEve,"2,2,3,3-Tetrafluoro-3-{[1,1,1,2,3,3-hexafluoro-3-(1,2,2,2-tetrafluoroethoxy)propan-2-yl]oxy}propanoic acid"
53567,10:2 PFS,10:2 Fluorotelomer sulfonic acid
53570,6:2 PFS,6:2 Fluorotelomer sulfonic acid
53573,ADONA,"Dodecafluoro-3H-4,8-dioxanonanoic acid"
53575,N-CMAmP-6:2FOSA (6:2 FTAB),"N-(carboxymethyl)-N,N-dimethyl-N-[3-(1H,1H,2H,2H-perfluoro-1-octanesulfonamido)propan-1-yl]ammonium"
53579,PMPA,Perfluoro-2-methoxypropanoic acid
53580,PFBSA,Perfluorobutane sulfonamide
53583,PFHpS,Perfluoroheptanesulfonic acid
53585,PFHxSA,Perfluorohexane sulfonamide
53586,PFHxS,Perfluorohexanesulfonic acid
53588,PFOSA,Perfluorooctane sulfonamide
53589,PFPeS,Perfluoropentanesulfonic acid
53592,PFUnDA,Perfluoroundecanoic acid
